spot_id,VISIT_AREA_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_0,미스틱3도,60.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_2,원앙폭포,53.57142857142857,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.071428571428571,4.214285714285714
spot_3,광치기해변,44.224137931034484,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.146551724137931,4.2844827586206895
spot_4,소천지,36.666666666666664,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.277777777777778,4.333333333333333
spot_6,소노캄제주 수영장,120.0,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_7,청굴물,31.428571428571427,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",자연관광지,체험 활동 관광지,missing,missing,missing,missing,missing,4.571428571428571,4.571428571428571
spot_8,섭지코지,60.92307692307692,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.205128205128205,4.3538461538461535
spot_9,금오름,64.5,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,4.38125,4.5375
spot_10,정방폭포,42.0,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.128,4.28
spot_11,교래자연휴양림,72.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.3,4.4
spot_12,수목원길야시장,66.95652173913044,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.782608695652174,3.8550724637681157
spot_13,뽀로로앤타요테마파크제주,390.0,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_15,제주시민속오일시장,54.705882352941174,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.235294117647059,4.294117647058823
spot_16,성산일출봉,63.39449541284404,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등","문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,4.324159021406728,4.489296636085627
spot_17,형제섬,140.0,체험 활동 관광지,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,4.333333333333333,4.666666666666667
spot_18,제주아트센터,30.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,3.3333333333333335,3.3333333333333335
spot_19,제주동문재래시장,55.16949152542373,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.187234042553191,4.157446808510638
spot_20,우도봉 입구,36.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.16,4.28
spot_21,중문대포주상절리대,47.47572815533981,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.941747572815534,4.165048543689321
spot_22,용두암,36.0,자연관광지,"산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,3.8454545454545452,3.9
spot_23,어리목매표소,225.0,"산책로, 둘레길 등",자연관광지,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_24,도두동무지개해안도로,35.45454545454545,"산책로, 둘레길 등",자연관광지,"상업지구(거리, 시장, 쇼핑시설)","테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,4.008264462809917,4.214876033057851
spot_25,제주해양레저사계,30.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_26,제주다움렌터카,30.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.0,4.0
spot_29,포도뮤지엄,60.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.380952380952381,4.476190476190476
spot_30,제주코코몽에코파크,221.53846153846155,"테마시설(놀이공원, 워터파크)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,3.923076923076923,3.8461538461538463
spot_31,카멜리아힐,87.54545454545455,체험 활동 관광지,자연관광지,"산책로, 둘레길 등","문화 시설(공연장, 영화관, 전시관 등)","테마시설(놀이공원, 워터파크)",지역 축제/행사,missing,missing,4.136363636363637,4.245454545454545
spot_33,신풍신천 바다목장길,37.5,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.25,4.25
spot_34,한라수목원,56.4,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.08,4.06
spot_35,대정교회,30.0,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_36,이오리,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_38,신비의도로,33.0,자연관광지,체험 활동 관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,2.6,2.6
spot_39,협재해수욕장,60.9009009009009,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.45945945945946,4.48048048048048
spot_40,새별오름,65.40983606557377,자연관광지,"산책로, 둘레길 등",지역 축제/행사,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",체험 활동 관광지,missing,missing,missing,4.213114754098361,4.463114754098361
spot_41,가르송티미드 제주,15.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.0,3.5
spot_42,표선해수욕장,106.26506024096386,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.180722891566265,4.192771084337349
spot_43,백약이오름,56.08695652173913,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.043478260869565,4.304347826086956
spot_44,제주야구인의마을,247.5,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,missing,4.5,4.5
spot_45,한라산국립공원 영실탐방로,241.57894736842104,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,missing,4.7368421052631575,4.894736842105263
spot_46,붉은오름자연휴양림,60.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.615384615384615,4.615384615384615
spot_48,제주승마장,60.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,4.0,5.0
spot_50,돔베낭골,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,2.0,2.0
spot_52,제주해변공연장,48.0,지역 축제/행사,자연관광지,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,4.0,4.0
spot_53,노형슈퍼마켙,120.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,3.5,4.0
spot_54,용머리해안,53.60655737704918,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,3.959016393442623,4.122950819672131
spot_55,이승이오름,84.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.133333333333334,4.266666666666667
spot_56,제주i,45.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.5,4.0
spot_57,제주동문재래야시장,55.416666666666664,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.9166666666666665,3.986111111111111
spot_60,위니아에이드 애플공인서비스 신제주센터,90.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_61,따라비오름,87.6923076923077,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.346153846153846,4.538461538461538
spot_62,아쿠아플라넷 제주,154.51612903225808,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.225806451612903,4.483870967741935
spot_65,뷰제주하늘,60.0,체험 활동 관광지,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,3.5,3.5
spot_66,헬로키티아일랜드,95.45454545454545,"테마시설(놀이공원, 워터파크)","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)",체험 활동 관광지,missing,missing,missing,missing,3.4545454545454546,3.9545454545454546
