TRAVEL_ID,spot_id,DGSTFN
d_d006731,spot_0,5.0
d_d004269,spot_2,3.0
d_d005276,spot_3,4.0
d_d012453,spot_4,5.0
d_d000233,spot_6,4.0
d_d004908,spot_7,5.0
d_d001508,spot_8,5.0
d_d009403,spot_9,4.0
d_d000480,spot_10,5.0
d_d011528,spot_11,5.0
d_d000412,spot_12,4.0
d_d002165,spot_13,5.0
d_d009186,spot_15,4.0
d_d002138,spot_16,4.0
d_d000288,spot_17,4.0
d_d012344,spot_18,4.0
d_d002000,spot_19,4.0
d_d007395,spot_20,5.0
d_d003990,spot_21,1.0
d_d005392,spot_22,5.0
d_d007188,spot_8,5.0
d_d006690,spot_23,5.0
d_d002170,spot_24,5.0
d_d000469,spot_25,5.0
d_d001713,spot_26,4.0
d_d001917,spot_29,4.0
d_d010391,spot_30,5.0
d_d009728,spot_31,5.0
d_d003696,spot_33,4.0
d_d001429,spot_19,4.0
d_d000072,spot_34,2.0
d_d012439,spot_35,5.0
d_d001704,spot_36,5.0
d_d001357,spot_21,5.0
d_d006711,spot_38,4.0
d_d004710,spot_9,5.0
d_d000658,spot_39,5.0
d_d004961,spot_40,5.0
d_d003928,spot_39,5.0
d_d008964,spot_41,4.0
d_d000097,spot_42,5.0
d_d002114,spot_43,4.0
d_d001916,spot_44,4.0
d_d009721,spot_45,4.0
d_d000701,spot_46,5.0
d_d000683,spot_24,4.0
d_d004635,spot_16,5.0
d_d003156,spot_24,5.0
d_d006717,spot_48,5.0
d_d004048,spot_50,2.0
d_d002857,spot_52,5.0
d_d000274,spot_53,3.0
d_d009650,spot_24,4.0
d_d010229,spot_54,4.0
d_d006004,spot_55,2.0
d_d005350,spot_56,4.0
d_d004370,spot_57,5.0
d_d006124,spot_60,4.0
d_d004522,spot_61,5.0
d_d003379,spot_62,5.0
d_d007504,spot_65,4.0
d_d009780,spot_66,3.0
d_d000182,spot_68,4.0
d_d004756,spot_69,5.0
d_d009158,spot_70,2.0
d_d003994,spot_71,4.0
d_d001353,spot_16,5.0
d_d000209,spot_75,5.0
d_d004458,spot_77,5.0
d_d003841,spot_24,4.0
d_d001350,spot_78,3.0
d_d004247,spot_79,5.0
d_d003233,spot_81,5.0
d_d002182,spot_82,5.0
d_d001579,spot_55,5.0
d_d012421,spot_84,3.0
d_d002431,spot_85,3.0
d_d003518,spot_86,4.0
d_d007819,spot_88,4.0
d_d000343,spot_75,4.0
d_d004101,spot_89,4.0
d_d010768,spot_90,4.0
d_d006734,spot_91,5.0
d_d002308,spot_92,4.0
d_d002214,spot_16,5.0
d_d011356,spot_93,3.0
d_d000104,spot_94,4.0
d_d003167,spot_95,4.0
d_d011423,spot_96,5.0
d_d007425,spot_97,4.0
d_d006910,spot_98,5.0
d_d001647,spot_19,5.0
d_d004550,spot_101,4.0
d_d000537,spot_104,5.0
d_d011377,spot_40,5.0
d_d005357,spot_3,3.0
d_d009931,spot_106,5.0
d_d001875,spot_57,4.0
d_d000337,spot_108,4.0
d_d010193,spot_110,4.0
d_d002943,spot_111,5.0
d_d003455,spot_112,5.0
b_b000516,spot_113,5.0
d_d000478,spot_114,5.0
d_d010178,spot_115,5.0
d_d012333,spot_116,5.0
d_d000488,spot_117,5.0
d_d000810,spot_118,4.0
d_d010661,spot_119,3.0
c_c005613,spot_120,3.0
d_d000922,spot_124,5.0
d_d008108,spot_125,4.0
d_d006853,spot_126,4.0
d_d003977,spot_127,5.0
d_d000744,spot_128,3.0
d_d010562,spot_129,4.0
d_d009588,spot_130,5.0
d_d002933,spot_131,5.0
d_d009706,spot_132,5.0
d_d002036,spot_133,5.0
d_d000190,spot_134,5.0
d_d004993,spot_135,3.0
d_d002112,spot_132,5.0
d_d002304,spot_136,5.0
d_d003814,spot_10,5.0
d_d004444,spot_82,5.0
d_d000364,spot_139,5.0
d_d009568,spot_9,4.0
d_d001805,spot_39,5.0
d_d003194,spot_92,4.0
d_d007870,spot_115,4.0
d_d003474,spot_141,5.0
d_d001902,spot_142,4.0
d_d010505,spot_144,5.0
d_d005523,spot_145,4.0
d_d000881,spot_146,5.0
d_d008023,spot_81,4.0
d_d001924,spot_147,3.0
d_d009457,spot_148,5.0
d_d010305,spot_149,4.0
d_d011821,spot_151,5.0
d_d010686,spot_40,5.0
d_d005235,spot_153,4.0
d_d001432,spot_101,5.0
d_d006783,spot_155,4.0
d_d002801,spot_156,4.0
d_d003543,spot_158,5.0
d_d002237,spot_159,4.0
d_d004583,spot_160,5.0
d_d004191,spot_3,5.0
d_d003050,spot_161,4.0
d_d003518,spot_162,4.0
d_d007467,spot_62,5.0
d_d012487,spot_163,3.0
d_d003157,spot_165,5.0
d_d001431,spot_166,5.0
d_d000006,spot_167,3.0
d_d009342,spot_168,3.0
d_d004187,spot_171,2.0
d_d005896,spot_174,4.0
d_d004698,spot_131,4.0
d_d002464,spot_175,5.0
d_d000104,spot_3,4.0
d_d002115,spot_176,5.0
d_d010315,spot_75,3.0
d_d002112,spot_180,5.0
d_d003196,spot_40,5.0
d_d005156,spot_89,5.0
d_d003518,spot_183,5.0
d_d000372,spot_39,5.0
d_d002816,spot_166,2.0
d_d000630,spot_119,5.0
d_d000538,spot_12,5.0
d_d000372,spot_184,5.0
d_d001386,spot_185,5.0
d_d000349,spot_186,4.0
d_d002251,spot_187,5.0
d_d001764,spot_188,5.0
d_d001638,spot_190,3.0
d_d001642,spot_75,5.0
d_d011821,spot_191,3.0
d_d000547,spot_75,5.0
d_d006713,spot_194,4.0
d_d010363,spot_40,4.0
d_d007630,spot_19,4.0
d_d010562,spot_195,4.0
d_d004584,spot_196,4.0
d_d008029,spot_197,5.0
d_d001193,spot_94,5.0
d_d005917,spot_198,4.0
d_d009419,spot_16,5.0
d_d000297,spot_115,2.0
d_d004093,spot_199,3.0
d_d005969,spot_200,5.0
d_d000344,spot_141,5.0
d_d000781,spot_39,5.0
d_d005426,spot_202,5.0
d_d002954,spot_148,5.0
d_d002220,spot_82,5.0
d_d005915,spot_203,3.0
b_b000836,spot_132,3.0
d_d002134,spot_205,3.0
d_d008029,spot_69,5.0
d_d003437,spot_206,4.0
d_d010973,spot_209,5.0
d_d004451,spot_40,5.0
d_d000564,spot_211,3.0
d_d000560,spot_213,4.0
d_d009186,spot_149,2.0
d_d009113,spot_215,5.0
d_d002198,spot_128,4.0
d_d004418,spot_40,5.0
d_d001730,spot_211,1.0
d_d000158,spot_216,4.0
d_d003387,spot_19,5.0
d_d002419,spot_132,5.0
d_d000431,spot_149,5.0
d_d002895,spot_203,5.0
d_d007735,spot_218,5.0
d_d004304,spot_111,4.0
d_d003471,spot_124,5.0
d_d002015,spot_219,4.0
d_d004464,spot_220,4.0
d_d005520,spot_119,3.0
d_d009457,spot_148,5.0
d_d003681,spot_223,2.0
d_d001601,spot_75,4.0
d_d000692,spot_224,5.0
d_d007742,spot_225,4.0
d_d008982,spot_226,3.0
d_d000973,spot_227,3.0
d_d005113,spot_228,5.0
d_d001424,spot_229,4.0
d_d002571,spot_230,4.0
d_d004166,spot_190,5.0
d_d004496,spot_232,4.0
d_d006232,spot_115,4.0
d_d001232,spot_233,5.0
d_d004833,spot_93,4.0
d_d003815,spot_125,5.0
d_d004522,spot_129,5.0
d_d012399,spot_117,5.0
d_d001038,spot_128,3.0
d_d001209,spot_16,4.0
d_d012341,spot_34,5.0
d_d008962,spot_8,5.0
d_d009002,spot_240,5.0
d_d005241,spot_241,5.0
d_d004874,spot_242,5.0
d_d001934,spot_75,5.0
d_d005571,spot_224,5.0
d_d010768,spot_243,4.0
d_d009381,spot_245,5.0
d_d002428,spot_166,3.0
d_d003576,spot_247,4.0
d_d010617,spot_248,5.0
d_d009521,spot_249,5.0
d_d004838,spot_250,5.0
d_d011430,spot_251,5.0
d_d006916,spot_156,5.0
d_d004801,spot_254,5.0
d_d002359,spot_255,5.0
d_d009319,spot_256,1.0
d_d005424,spot_158,4.0
d_d004738,spot_259,3.0
d_d006863,spot_261,4.0
d_d009196,spot_262,5.0
d_d001881,spot_8,5.0
d_d009931,spot_264,5.0
d_d010419,spot_85,4.0
d_d001439,spot_149,5.0
d_d007629,spot_148,3.0
d_d002953,spot_75,2.0
d_d005450,spot_265,5.0
d_d004349,spot_267,5.0
d_d001389,spot_268,4.0
d_d010109,spot_270,5.0
d_d009496,spot_271,5.0
d_d001399,spot_272,4.0
d_d009106,spot_19,4.0
d_d009241,spot_31,4.0
d_d001471,spot_273,5.0
d_d007761,spot_274,5.0
d_d004789,spot_75,4.0
d_d000221,spot_82,5.0
d_d002195,spot_277,5.0
d_d009166,spot_278,4.0
d_d002237,spot_279,4.0
d_d001147,spot_206,5.0
d_d000435,spot_281,3.0
a_a008642,spot_282,5.0
d_d000018,spot_284,3.0
d_d004056,spot_285,3.0
d_d007518,spot_147,3.0
d_d003169,spot_286,5.0
d_d002348,spot_166,5.0
d_d009967,spot_209,4.0
d_d003108,spot_288,5.0
d_d002382,spot_289,3.0
d_d010309,spot_291,3.0
d_d001272,spot_292,4.0
d_d010686,spot_119,5.0
d_d007057,spot_89,5.0
d_d001385,spot_250,2.0
d_d004661,spot_16,4.0
d_d000795,spot_295,5.0
d_d003563,spot_286,5.0
d_d002187,spot_272,4.0
d_d009638,spot_224,3.0
d_d000249,spot_296,5.0
d_d000150,spot_297,4.0
d_d012235,spot_298,2.0
d_d001394,spot_155,5.0
d_d001967,spot_300,5.0
d_d000663,spot_301,3.0
d_d005620,spot_302,4.0
d_d000173,spot_62,5.0
d_d004363,spot_303,3.0
d_d001011,spot_42,5.0
d_d005338,spot_304,3.0
d_d010562,spot_305,5.0
d_d005149,spot_306,5.0
d_d007968,spot_307,5.0
d_d000583,spot_69,5.0
d_d010193,spot_202,4.0
d_d006063,spot_211,5.0
d_d002856,spot_119,5.0
d_d000463,spot_119,4.0
d_d001275,spot_57,5.0
d_d002050,spot_69,5.0
d_d009942,spot_209,4.0
d_d000956,spot_91,4.0
d_d004730,spot_39,5.0
d_d007809,spot_31,5.0
