TRAVEL_ID,TRAVELER_ID,TRAVEL_RANGE,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MISSION_4,TRAVEL_MISSION_5,TRAVEL_MISSION_6,TRAVEL_MISSION_7,TRAVEL_MISSION_8,TRAVEL_MISSION_9,TRAVEL_MISSION_10,TRAVEL_MISSION_11,TRAVEL_MISSION_12,TRAVEL_MISSION_13,TRAVEL_MISSION_14,TRAVEL_MISSION_15,TRAVEL_MISSION_16,TRAVEL_MISSION_17,TRAVEL_MISSION_18,TRAVEL_MISSION_19,TRAVEL_MISSION_20,TRAVEL_MISSION_21
b_b010312,b010312,2박 3일,쇼핑,Well-ness 여행,SNS 인생샷 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
b_b005266,b005266,2박 3일,Well-ness 여행,SNS 인생샷 여행,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000296,d000296,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d002565,d002565,3박 4일,SNS 인생샷 여행,호캉스 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006390,d006390,4박 5일,"테마파크, 놀이시설, 동/식물원 방문",SNS 인생샷 여행,시티투어,"야외 스포츠, 레포츠 활동",지역 문화예술/공연/전시시설 관람,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d003854,d003854,2박 3일,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,쇼핑,유흥/오락(나이트라이프),캠핑,지역 축제/이벤트 참가,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d007597,d007597,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d006739,d006739,4박 5일,호캉스 여행,신규 여행지 발굴,인플루언서 따라하기 여행,친환경 여행(플로깅 여행),등반 여행,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
d_d000275,d000275,3박 4일,쇼핑,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,시티투어,"야외 스포츠, 레포츠 활동",missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
c_c000085,c000085,4박 5일,쇼핑,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
