TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8
b011774,여,30대,2인 가족 여행,1,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",SNS 사진 등록 등 과시,중립,숙박중간선호,새로운지역중간선호,중립,휴양또는휴식약간선호,잘알려지지않은방문지약간선호,계획에따른여행중간선호,사진촬영중요중간선호
d009928,여,20대,2인 여행(가족 외),1,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",SNS 사진 등록 등 과시,도시중간선호,숙박매우선호,새로운지역중간선호,편하지만비싼숙소약간선호,휴양또는휴식매우선호,알려진방문지중간선호,계획에따른여행매우선호,사진촬영중요매우선호
d010131,남,20대,나홀로 여행,0,SNS 사진 등록 등 과시,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",기타,도시중간선호,숙박중간선호,새로운지역매우선호,불편하지만저렴한숙소중간선호,체험활동약간선호,알려진방문지중간선호,계획에따른여행중간선호,사진촬영중요매우선호
d006004,여,20대,2인 여행(가족 외),1,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",새로운 경험 추구,도시약간선호,당일매우선호,익순한지역중간선호,편하지만비싼숙소중간선호,휴양또는휴식중간선호,알려진방문지약간선호,계획에따른여행약간선호,사진촬영중요중간선호
d002965,여,30대,자녀 동반 여행,3,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피","역사 탐방, 문화적 경험 등 교육적 동기",자연매우선호,당일매우선호,새로운지역매우선호,편하지만비싼숙소매우선호,체험활동매우선호,알려진방문지매우선호,계획에따른여행매우선호,중립
c003062,여,50대,3인 이상 여행(가족 외),7,여행 동반자와의 친밀감 및 유대감 증진,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",새로운 경험 추구,중립,중립,새로운지역약간선호,불편하지만저렴한숙소약간선호,휴양또는휴식약간선호,알려진방문지약간선호,계획에따른여행중간선호,사진촬영중요중간선호
d012350,남,30대,3인 이상 여행(가족 외),2,"운동, 건강 증진 및 충전",여행 동반자와의 친밀감 및 유대감 증진,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",자연중간선호,숙박매우선호,익순한지역약간선호,편하지만비싼숙소약간선호,휴양또는휴식중간선호,잘알려지지않은방문지약간선호,계획에따른여행약간선호,사진촬영중요하지않음약간선호
a017861,남,60대,2인 가족 여행,1,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식","일상적인 환경 및 역할에서의 탈출, 지루함 탈피",여행 동반자와의 친밀감 및 유대감 증진,자연매우선호,숙박중간선호,익순한지역중간선호,불편하지만저렴한숙소매우선호,휴양또는휴식중간선호,알려진방문지중간선호,상황에따른여행매우선호,사진촬영중요매우선호
d001580,남,30대,자녀 동반 여행,2,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",여행 동반자와의 친밀감 및 유대감 증진,새로운 경험 추구,중립,숙박약간선호,새로운지역중간선호,불편하지만저렴한숙소약간선호,체험활동중간선호,알려진방문지중간선호,계획에따른여행매우선호,사진촬영중요매우선호
d007452,남,30대,부모 동반 여행,3,"특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)","일상적인 환경 및 역할에서의 탈출, 지루함 탈피","쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",중립,중립,새로운지역약간선호,중립,휴양또는휴식약간선호,잘알려지지않은방문지약간선호,중립,중립
