new_spot_id,rename,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_1,원앙폭포,53.57142857142857,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.071428571428571,4.214285714285714
spot_2,광치기해변,44.224137931034484,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.146551724137931,4.2844827586206895
spot_3,소천지,36.666666666666664,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.277777777777778,4.333333333333333
spot_5,청굴물,31.428571428571427,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",자연관광지,체험 활동 관광지,missing,missing,missing,missing,missing,4.571428571428571,4.571428571428571
spot_6,섭지코지,60.92307692307692,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.205128205128205,4.3538461538461535
spot_7,금오름,64.5,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,4.38125,4.5375
spot_8,정방폭포,42.0,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.128,4.28
spot_9,교래자연휴양림,72.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.3,4.4
spot_10,수목원길야시장,68.51351351351352,"상업지구(거리, 시장, 쇼핑시설)","테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,3.72972972972973,3.824324324324324
spot_11,뽀로로앤타요테마파크 제주,203.4375,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.34375,4.53125
