user,item,label
d_d004269,spot_1,3.0
d_d012453,spot_3,5.0
d_d004908,spot_5,5.0
d_d001508,spot_6,5.0
d_d009403,spot_7,4.0
d_d000480,spot_8,5.0
d_d011528,spot_9,5.0
d_d000412,spot_10,4.0
d_d002165,spot_11,5.0
d_d009186,spot_12,4.0
d_d002138,spot_13,4.0
d_d000288,spot_14,4.0
d_d012344,spot_15,4.0
d_d002000,spot_16,4.0
d_d005392,spot_19,5.0
d_d006690,spot_20,5.0
d_d010391,spot_24,5.0
d_d003696,spot_26,4.0
d_d001429,spot_16,4.0
d_d000072,spot_27,2.0
d_d001357,spot_18,5.0
d_d006711,spot_29,4.0
d_d004710,spot_7,5.0
d_d000658,spot_30,5.0
d_d004961,spot_31,5.0
d_d003928,spot_30,5.0
d_d002114,spot_34,4.0
d_d000701,spot_37,5.0
d_d006717,spot_38,5.0
d_d000274,spot_40,3.0
d_d006004,spot_42,2.0
d_d005350,spot_43,4.0
d_d004370,spot_44,5.0
d_d004522,spot_46,5.0
d_d003379,spot_47,5.0
d_d007504,spot_48,4.0
d_d009780,spot_49,3.0
d_d000182,spot_50,4.0
d_d004756,spot_51,5.0
d_d009158,spot_52,2.0
d_d003994,spot_53,4.0
d_d001353,spot_13,5.0
d_d000209,spot_54,5.0
d_d001350,spot_55,3.0
d_d003233,spot_57,5.0
d_d001579,spot_42,5.0
d_d012421,spot_59,3.0
d_d000343,spot_54,4.0
d_d006734,spot_64,5.0
d_d002308,spot_65,4.0
d_d002214,spot_13,5.0
d_d011356,spot_66,3.0
d_d000104,spot_67,4.0
d_d007425,spot_69,4.0
d_d001647,spot_16,5.0
d_d004550,spot_71,4.0
d_d000537,spot_72,5.0
d_d011377,spot_31,5.0
d_d005357,spot_2,3.0
d_d000337,spot_74,4.0
d_d002943,spot_76,5.0
b_b000516,spot_77,5.0
d_d010178,spot_78,5.0
d_d000810,spot_81,4.0
d_d010661,spot_82,3.0
c_c005613,spot_83,3.0
d_d000922,spot_84,5.0
d_d008108,spot_85,4.0
d_d003977,spot_87,5.0
d_d000744,spot_88,3.0
d_d009588,spot_90,5.0
d_d002933,spot_91,5.0
d_d009706,spot_92,5.0
d_d000190,spot_93,5.0
d_d002112,spot_92,5.0
d_d003814,spot_8,5.0
d_d004444,spot_58,5.0
d_d000364,spot_94,5.0
d_d009568,spot_7,4.0
d_d001805,spot_30,5.0
d_d003194,spot_65,4.0
d_d007870,spot_78,4.0
d_d001902,spot_96,4.0
d_d001924,spot_99,3.0
d_d009457,spot_100,5.0
d_d010686,spot_31,5.0
d_d005235,spot_16,4.0
d_d001432,spot_71,5.0
d_d006783,spot_102,4.0
d_d003543,spot_104,5.0
d_d004583,spot_106,5.0
d_d003518,spot_107,4.0
d_d007467,spot_47,5.0
d_d012487,spot_108,3.0
d_d001431,spot_16,5.0
d_d000006,spot_109,3.0
d_d005896,spot_112,4.0
d_d004698,spot_91,4.0
d_d000104,spot_2,4.0
d_d010315,spot_54,3.0
d_d003196,spot_31,5.0
d_d005156,spot_62,5.0
d_d003518,spot_115,5.0
d_d000372,spot_30,5.0
d_d002816,spot_16,2.0
d_d000630,spot_82,5.0
d_d000538,spot_10,5.0
d_d000372,spot_116,5.0
d_d001386,spot_117,5.0
d_d002251,spot_119,5.0
d_d001764,spot_120,5.0
d_d001642,spot_54,5.0
d_d000547,spot_54,5.0
d_d006713,spot_122,4.0
d_d010363,spot_31,4.0
d_d007630,spot_16,4.0
d_d001193,spot_67,5.0
d_d009419,spot_13,5.0
d_d005969,spot_125,5.0
d_d005426,spot_126,5.0
d_d002954,spot_100,5.0
d_d002220,spot_58,5.0
d_d005915,spot_127,3.0
d_d002134,spot_128,3.0
d_d003437,spot_129,4.0
d_d004451,spot_31,5.0
d_d000564,spot_131,3.0
d_d000560,spot_132,4.0
d_d009186,spot_101,2.0
d_d002198,spot_88,4.0
d_d004418,spot_31,5.0
d_d001730,spot_131,1.0
d_d000158,spot_134,4.0
d_d002419,spot_92,5.0
d_d000431,spot_101,5.0
d_d002895,spot_127,5.0
d_d007735,spot_135,5.0
d_d003471,spot_84,5.0
d_d002015,spot_109,4.0
d_d004464,spot_136,4.0
d_d005520,spot_82,3.0
d_d009457,spot_100,5.0
d_d003681,spot_137,2.0
d_d001601,spot_54,4.0
d_d007742,spot_138,4.0
d_d008982,spot_139,3.0
d_d006232,spot_78,4.0
d_d004833,spot_66,4.0
d_d004522,spot_89,5.0
d_d001038,spot_88,3.0
d_d001209,spot_13,4.0
d_d012341,spot_27,5.0
d_d009002,spot_143,5.0
d_d005241,spot_144,5.0
d_d004874,spot_145,5.0
d_d001934,spot_54,5.0
d_d009381,spot_147,5.0
d_d002428,spot_16,3.0
d_d003576,spot_148,4.0
d_d011430,spot_151,5.0
d_d006916,spot_103,5.0
d_d002359,spot_152,5.0
d_d009319,spot_153,1.0
d_d005424,spot_104,4.0
d_d004738,spot_154,3.0
d_d001881,spot_6,5.0
d_d010419,spot_60,4.0
d_d007629,spot_100,3.0
d_d002953,spot_54,2.0
d_d010109,spot_158,5.0
d_d009106,spot_16,4.0
d_d009241,spot_25,4.0
d_d001471,spot_160,5.0
d_d004789,spot_54,4.0
d_d000221,spot_58,5.0
d_d009166,spot_163,4.0
d_d001147,spot_129,5.0
d_d000435,spot_165,3.0
d_d004056,spot_44,3.0
d_d007518,spot_99,3.0
d_d003169,spot_168,5.0
d_d003108,spot_169,5.0
d_d002382,spot_170,3.0
d_d010309,spot_171,3.0
d_d001272,spot_172,4.0
d_d010686,spot_82,5.0
d_d007057,spot_62,5.0
d_d004661,spot_13,4.0
d_d000795,spot_173,5.0
d_d003563,spot_168,5.0
d_d000249,spot_174,5.0
d_d000150,spot_175,4.0
d_d012235,spot_176,2.0
d_d001394,spot_102,5.0
d_d005620,spot_179,4.0
d_d000173,spot_47,5.0
d_d004363,spot_180,3.0
d_d001011,spot_33,5.0
d_d005338,spot_181,3.0
d_d007968,spot_184,5.0
d_d000583,spot_51,5.0
d_d006063,spot_131,5.0
d_d002856,spot_82,5.0
d_d000463,spot_82,4.0
d_d001275,spot_44,5.0
d_d000956,spot_64,4.0
d_d004730,spot_30,5.0
d_d007809,spot_25,5.0
d_d000484,spot_129,5.0
d_d001083,spot_51,5.0
d_d001624,spot_18,5.0
d_d009265,spot_151,5.0
d_d010521,spot_16,4.0
d_d000435,spot_13,4.0
d_d004211,spot_23,5.0
d_d006657,spot_62,4.0
d_d007761,spot_13,4.0
d_d004738,spot_66,4.0
d_d000128,spot_130,4.0
d_d007799,spot_120,5.0
d_d006122,spot_94,4.0
d_d001340,spot_189,4.0
d_d007660,spot_47,4.0
d_d007523,spot_190,4.0
d_d009302,spot_191,5.0
d_d005903,spot_192,3.0
d_d007019,spot_129,5.0
d_d001350,spot_54,4.0
d_d008117,spot_2,4.0
d_d005922,spot_194,4.0
d_d004526,spot_195,3.0
d_d006688,spot_69,2.0
d_d001340,spot_132,4.0
d_d000878,spot_197,4.0
d_d001514,spot_198,5.0
d_d000161,spot_7,4.0
d_d010207,spot_13,5.0
d_d005222,spot_200,1.0
d_d000074,spot_78,4.0
d_d003762,spot_13,5.0
d_d000534,spot_201,5.0
d_d000185,spot_78,3.0
d_d006018,spot_202,4.0
d_d002223,spot_203,5.0
d_d003977,spot_19,5.0
d_d001832,spot_13,5.0
d_d000743,spot_83,5.0
d_d002869,spot_132,4.0
d_d005992,spot_205,5.0
d_d010315,spot_206,4.0
d_d000364,spot_207,5.0
d_d010592,spot_16,5.0
d_d001713,spot_152,4.0
d_d001304,spot_83,5.0
d_d002473,spot_82,5.0
d_d005117,spot_127,5.0
d_d003735,spot_208,5.0
d_d001760,spot_210,3.0
d_d001846,spot_211,4.0
d_d002917,spot_212,5.0
d_d001448,spot_2,5.0
d_d010344,spot_213,3.0
d_d001580,spot_29,3.0
d_d010177,spot_130,4.0
b_b006175,spot_214,4.0
d_d001579,spot_136,5.0
d_d007445,spot_86,5.0
d_d001367,spot_82,5.0
d_d002342,spot_7,4.0
d_d002275,spot_173,4.0
d_d001586,spot_201,5.0
d_d003131,spot_215,4.0
d_d010447,spot_25,5.0
d_d004391,spot_25,5.0
d_d000323,spot_216,5.0
d_d001678,spot_92,5.0
d_d003356,spot_154,5.0
d_d003736,spot_107,4.0
d_d002264,spot_173,5.0
d_d002450,spot_58,5.0
d_d001370,spot_218,4.0
d_d000182,spot_220,4.0
d_d012470,spot_219,3.0
d_d000451,spot_221,4.0
d_d000895,spot_222,5.0
d_d000041,spot_13,5.0
d_d001396,spot_218,5.0
d_d003504,spot_16,3.0
d_d000483,spot_13,5.0
d_d008242,spot_224,4.0
d_d004914,spot_78,4.0
d_d000181,spot_225,5.0
d_d000496,spot_19,5.0
d_d002818,spot_227,3.0
d_d001861,spot_211,5.0
d_d006148,spot_192,5.0
d_d005892,spot_228,4.0
d_d010272,spot_47,5.0
d_d000258,spot_78,5.0
d_d005158,spot_231,5.0
d_d006731,spot_130,5.0
d_d001883,spot_233,5.0
d_d004222,spot_47,5.0
d_d006740,spot_129,5.0
d_d004236,spot_102,5.0
d_d001987,spot_2,5.0
d_d001220,spot_78,5.0
d_d003456,spot_16,5.0
d_d001662,spot_234,4.0
d_d000265,spot_231,3.0
d_d000291,spot_160,4.0
d_d010203,spot_236,3.0
d_d002304,spot_125,4.0
d_d000153,spot_238,5.0
d_d000718,spot_13,4.0
d_d004571,spot_239,3.0
d_d000150,spot_62,5.0
d_d002361,spot_240,4.0
d_d011086,spot_91,5.0
d_d001078,spot_58,5.0
d_d007728,spot_241,4.0
d_d002824,spot_44,5.0
d_d002259,spot_101,5.0
d_d011469,spot_78,5.0
d_d005811,spot_242,5.0
d_d005935,spot_244,4.0
d_d004888,spot_168,5.0
d_d012341,spot_75,4.0
d_d004780,spot_58,5.0
d_d007600,spot_245,5.0
d_d005997,spot_127,5.0
d_d002917,spot_246,5.0
d_d010056,spot_99,4.0
d_d000534,spot_8,5.0
d_d010215,spot_130,4.0
d_d006977,spot_6,5.0
d_d000221,spot_58,2.0
d_d009568,spot_57,4.0
d_d009548,spot_180,4.0
d_d008119,spot_99,5.0
d_d009475,spot_168,5.0
d_d009041,spot_163,2.0
d_d000441,spot_13,4.0
d_d000870,spot_250,5.0
d_d010113,spot_7,4.0
d_d002852,spot_110,5.0
d_d001987,spot_18,5.0
d_d004285,spot_251,5.0
d_d002574,spot_169,2.0
d_d000801,spot_189,2.0
d_d002838,spot_67,3.0
d_d004883,spot_31,5.0
d_d000657,spot_253,4.0
d_d002052,spot_147,4.0
d_d002850,spot_58,4.0
d_d004633,spot_219,5.0
d_d000388,spot_33,4.0
d_d004168,spot_256,5.0
d_d001558,spot_218,4.0
d_d006357,spot_82,5.0
d_d002527,spot_257,3.0
d_d001561,spot_42,5.0
d_d002103,spot_33,4.0
d_d001209,spot_2,4.0
d_d003928,spot_132,4.0
d_d005979,spot_89,5.0
d_d000007,spot_47,5.0
d_d004702,spot_258,3.0
d_d001396,spot_7,5.0
d_d007486,spot_259,5.0
d_d012383,spot_31,4.0
d_d000105,spot_260,4.0
d_d003043,spot_13,5.0
d_d001644,spot_75,2.0
d_d005548,spot_54,3.0
d_d010419,spot_130,4.0
d_d009107,spot_142,4.0
d_d003645,spot_132,5.0
d_d001275,spot_57,4.0
d_d008050,spot_31,5.0
d_d001841,spot_82,5.0
d_d010531,spot_66,5.0
d_d002317,spot_101,3.0
d_d002423,spot_104,4.0
d_d004738,spot_228,4.0
d_d001647,spot_130,5.0
d_d001378,spot_18,4.0
d_d002166,spot_82,3.0
d_d002732,spot_262,5.0
d_d010736,spot_78,5.0
d_d000499,spot_129,5.0
d_d001683,spot_263,3.0
d_d002342,spot_130,4.0
d_d009381,spot_30,5.0
d_d008975,spot_19,3.0
d_d003044,spot_58,5.0
d_d001325,spot_174,2.0
d_d007179,spot_31,5.0
d_d010207,spot_152,5.0
d_d003131,spot_13,5.0
d_d010758,spot_142,4.0
d_d002588,spot_16,5.0
d_d002816,spot_40,5.0
d_d005548,spot_268,4.0
d_d000328,spot_41,5.0
d_d002541,spot_16,4.0
d_d012347,spot_269,5.0
d_d009956,spot_88,5.0
d_d007182,spot_69,5.0
d_d003448,spot_270,4.0
d_d007518,spot_245,4.0
d_d001493,spot_31,5.0
d_d000185,spot_180,4.0
d_d001275,spot_31,4.0
d_d003531,spot_58,4.0
d_d001697,spot_273,1.0
d_d009242,spot_274,3.0
d_d002195,spot_275,3.0
d_d001406,spot_276,3.0
d_d001440,spot_174,4.0
d_d000105,spot_277,4.0
d_d011757,spot_40,5.0
d_d007844,spot_41,3.0
d_d011481,spot_2,4.0
d_d002485,spot_281,5.0
d_d001453,spot_282,4.0
d_d005930,spot_103,5.0
d_d009380,spot_283,5.0
d_d003239,spot_284,5.0
d_d002768,spot_40,5.0
d_d002198,spot_151,4.0
d_d002933,spot_152,5.0
d_d009998,spot_102,2.0
d_d000538,spot_74,5.0
d_d007396,spot_82,5.0
d_d002192,spot_16,5.0
d_d000479,spot_44,4.0
d_d001060,spot_58,3.0
d_d008960,spot_285,5.0
d_d004404,spot_239,4.0
d_d004071,spot_142,5.0
d_d002613,spot_8,5.0
d_d003543,spot_130,5.0
