spot_id,TRAVEL_ID,rating
spot_0,d_d006731,5
spot_4,d_d012453,5
spot_6,d_d000233,4
spot_7,d_d004908,5
spot_8,d_d001508,5
spot_9,d_d009403,4
spot_10,d_d000480,5
spot_11,d_d011528,5
spot_12,d_d000412,4
spot_13,d_d002165,5
spot_15,d_d009186,4
spot_16,d_d002138,4
spot_17,d_d000288,4
spot_18,d_d012344,4
spot_19,d_d002000,4
spot_20,d_d007395,5
spot_22,d_d005392,5
spot_23,d_d006690,5
spot_24,d_d002170,5
spot_26,d_d001713,4
spot_30,d_d010391,5
spot_33,d_d003696,4
spot_19,d_d001429,4
spot_35,d_d012439,5
spot_36,d_d001704,5
spot_21,d_d001357,5
spot_38,d_d006711,4
spot_9,d_d004710,5
spot_39,d_d000658,5
spot_40,d_d004961,5
spot_39,d_d003928,5
spot_43,d_d002114,4
spot_44,d_d001916,4
spot_45,d_d009721,4
spot_46,d_d000701,5
spot_24,d_d003156,5
spot_48,d_d006717,5
spot_52,d_d002857,5
spot_56,d_d005350,4
spot_57,d_d004370,5
spot_60,d_d006124,4
spot_61,d_d004522,5
spot_62,d_d003379,5
spot_65,d_d007504,4
spot_68,d_d000182,4
spot_69,d_d004756,5
spot_71,d_d003994,4
spot_16,d_d001353,5
spot_75,d_d000209,5
spot_77,d_d004458,5
spot_24,d_d003841,4
spot_79,d_d004247,5
spot_81,d_d003233,5
spot_55,d_d001579,5
spot_86,d_d003518,4
spot_88,d_d007819,4
spot_75,d_d000343,4
spot_91,d_d006734,5
spot_92,d_d002308,4
spot_16,d_d002214,5
spot_94,d_d000104,4
spot_96,d_d011423,5
spot_97,d_d007425,4
spot_98,d_d006910,5
spot_19,d_d001647,5
spot_101,d_d004550,4
spot_103,d_d001143,5
spot_104,d_d000537,5
spot_40,d_d011377,5
spot_108,d_d000337,4
spot_111,d_d002943,5
spot_112,d_d003455,5
spot_115,d_d010178,5
spot_117,d_d000488,5
spot_118,d_d000810,4
spot_124,d_d000922,5
spot_125,d_d008108,4
spot_127,d_d003977,5
spot_130,d_d009588,5
spot_131,d_d002933,5
spot_132,d_d009706,5
spot_133,d_d002036,5
spot_134,d_d000190,5
spot_132,d_d002112,5
spot_136,d_d002304,5
spot_10,d_d003814,5
spot_82,d_d004444,5
spot_139,d_d000364,5
spot_9,d_d009568,4
spot_39,d_d001805,5
spot_92,d_d003194,4
spot_115,d_d007870,4
spot_141,d_d003474,5
spot_142,d_d001902,4
spot_145,d_d005523,4
spot_146,d_d000881,5
spot_148,d_d009457,5
spot_151,d_d011821,5
spot_40,d_d010686,5
spot_101,d_d001432,5
spot_154,d_d000889,5
spot_155,d_d006783,4
spot_158,d_d003543,5
spot_160,d_d004583,5
spot_161,d_d003050,4
spot_162,d_d003518,4
spot_62,d_d007467,5
spot_165,d_d003157,5
spot_166,d_d001431,5
spot_174,d_d005896,4
spot_131,d_d004698,4
spot_175,d_d002464,5
spot_3,d_d000104,4
spot_176,d_d002115,5
spot_180,d_d002112,5
spot_40,d_d003196,5
spot_89,d_d005156,5
spot_183,d_d003518,5
spot_39,d_d000372,5
spot_119,d_d000630,5
spot_12,d_d000538,5
spot_184,d_d000372,5
spot_185,d_d001386,5
spot_187,d_d002251,5
spot_188,d_d001764,5
spot_75,d_d001642,5
spot_192,d_d008960,4
spot_75,d_d000547,5
spot_194,d_d006713,4
spot_40,d_d010363,4
spot_19,d_d007630,4
spot_196,d_d004584,4
spot_94,d_d001193,5
spot_198,d_d005917,4
spot_16,d_d009419,5
spot_200,d_d005969,5
spot_201,d_d000898,5
spot_141,d_d000344,5
spot_202,d_d005426,5
spot_148,d_d002954,5
spot_82,d_d002220,5
spot_206,d_d003437,4
spot_40,d_d004451,5
spot_213,d_d000560,4
spot_215,d_d009113,5
spot_128,d_d002198,4
spot_40,d_d004418,5
spot_216,d_d000158,4
spot_132,d_d002419,5
spot_149,d_d000431,5
spot_203,d_d002895,5
spot_218,d_d007735,5
spot_124,d_d003471,5
spot_219,d_d002015,4
spot_220,d_d004464,4
spot_148,d_d009457,5
