spot_id,관광지,평균 상주시간(분),재방문비율,재방문의향점수,평균 동반자수,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)","상업지구(거리, 시장, 쇼핑시설)","레저/스포츠 관련 시설(스키, 카트, 수상레저)","테마시설(놀이공원, 워터파크)","산책로, 둘레길 등",지역 축제/행사,체험 활동 관광지
spot_0,미스틱3도,60,0,5,3,0,0,0,0,0,0,0,0,1
spot_2,원앙폭포,53.57142857,0.071428571,4.071428571,1.416666667,1,0,0,0,0,0,0,0,0
spot_3,광치기해변,44.22413793,0.336206897,4.146551724,1.26,1,0,0,0,0,0,1,0,0
spot_4,소천지,36.66666667,0.111111111,4.277777778,1.307692308,1,0,0,0,0,0,0,0,0
spot_6,소노캄제주 수영장,120,0,4,3,0,0,0,0,0,1,0,0,0
spot_7,청굴물,31.42857143,0.095238095,4.571428571,1.1875,1,1,0,0,0,0,0,0,1
spot_8,섭지코지,60.92307692,0.456410256,4.205128205,1.542682927,1,1,0,0,0,0,1,0,1
spot_9,금오름,64.5,0.14375,4.38125,1.172661871,1,1,0,0,1,0,1,0,1
spot_10,정방폭포,42,0.272,4.128,1.54368932,1,1,0,0,0,0,1,0,1
spot_11,교래자연휴양림,72,0,4.3,0.714285714,1,0,0,0,0,0,1,0,0
spot_12,수목원길야시장,66.95652174,0.173913043,3.782608696,1.574074074,0,0,0,1,0,0,0,0,0
spot_13,뽀로로앤타요테마파크제주,390,0,4,2,0,0,0,0,0,1,0,0,0
spot_15,제주시민속오일시장,54.70588235,0.294117647,4.235294118,0.928571429,0,0,0,1,0,0,0,0,0
spot_16,성산일출봉,63.39449541,0.620795107,4.324159021,1.511450382,1,1,1,0,0,0,1,0,0
spot_17,형제섬,140,0,4.333333333,2,0,0,0,0,1,0,0,0,1
spot_18,제주아트센터,30,0,3.333333333,0.333333333,0,0,1,0,0,0,0,0,0
spot_19,제주동문재래시장,55.16949153,0.655319149,4.187234043,1.481081081,0,0,0,1,0,0,0,0,0
spot_20,우도봉 입구,36,0.2,4.16,2,1,0,0,0,0,0,1,0,0
spot_21,중문대포주상절리대,47.47572816,0.349514563,3.941747573,1.578313253,1,0,0,0,0,0,0,0,0
spot_22,용두암,36,0.390909091,3.845454545,1.647058824,1,1,0,0,0,0,1,0,0
spot_23,어리목매표소,225,0.5,5,0,1,0,0,0,0,0,1,0,0
spot_24,도두동무지개해안도로,35.45454545,0.223140496,4.008264463,1.459183673,1,0,0,1,0,1,1,0,0
spot_26,제주다움렌터카,30,0,3,1,0,0,0,1,0,0,0,0,0
spot_29,포도뮤지엄,60,0.142857143,4.380952381,0.714285714,0,0,1,0,0,0,0,0,0
spot_30,제주코코몽에코파크,221.5384615,0.230769231,3.923076923,2.545454545,0,0,0,0,0,1,0,0,1
spot_31,카멜리아힐,87.54545455,0.281818182,4.136363636,1.967032967,1,0,1,0,0,1,1,1,1
spot_33,신풍신천 바다목장길,37.5,0.5,4.25,1.5,1,0,0,0,0,0,0,0,0
spot_34,한라수목원,56.4,0.3,4.08,1.238095238,1,0,0,0,0,0,0,0,0
spot_35,대정교회,30,0,5,0,0,1,0,0,0,0,0,0,0
spot_36,이오리,30,0,5,0,1,0,0,0,0,0,0,0,0
spot_38,신비의도로,33,0.3,2.6,2.142857143,1,0,0,0,0,0,1,0,1
spot_39,협재해수욕장,60.9009009,0.555555556,4.459459459,1.427536232,1,0,0,0,0,0,0,0,0
spot_40,새별오름,65.40983607,0.270491803,4.213114754,1.612745098,1,1,0,0,0,0,1,1,1
spot_42,표선해수욕장,106.2650602,0.289156627,4.180722892,1.885714286,1,0,0,0,0,0,0,0,0
spot_43,백약이오름,56.08695652,0.217391304,4.043478261,1,1,0,0,0,0,0,1,0,0
spot_44,제주야구인의마을,247.5,1,4.5,2,0,0,0,0,0,0,1,0,0
spot_45,한라산국립공원 영실탐방로,241.5789474,0.263157895,4.736842105,1.071428571,1,0,0,0,0,0,1,0,1
spot_46,붉은오름자연휴양림,60,0.153846154,4.615384615,1.166666667,1,0,0,0,0,0,1,0,0
spot_48,제주승마장,60,0,4,5.5,0,0,0,0,1,0,0,0,1
spot_52,제주해변공연장,48,0.4,4,1.2,1,0,1,0,0,0,0,1,0
spot_53,노형슈퍼마켙,120,0,3.5,1.5,0,0,1,0,0,0,0,0,0
spot_54,용머리해안,53.60655738,0.286885246,3.959016393,1.537735849,1,1,0,0,0,0,1,0,1
spot_55,이승이오름,84,0.2,4.133333333,1.083333333,1,0,0,0,0,0,1,0,0
spot_56,제주i,45,0,3.5,1,0,0,0,1,0,0,0,0,0
spot_57,제주동문재래야시장,55.41666667,0.555555556,3.916666667,1.220338983,0,0,0,1,0,0,0,0,0
spot_60,위니아에이드 애플공인서비스 신제주센터,90,0,4,0,0,0,0,1,0,0,0,0,0
spot_61,따라비오름,87.69230769,0.269230769,4.346153846,1.090909091,1,0,0,0,0,0,1,0,0
spot_62,아쿠아플라넷 제주,154.516129,0.279569892,4.225806452,2.067567568,0,0,0,0,0,1,0,0,0
spot_65,뷰제주하늘,60,0,3.5,1,0,0,0,0,1,0,0,0,1
spot_66,헬로키티아일랜드,95.45454545,0.181818182,3.454545455,2.705882353,0,1,1,0,0,1,0,0,1
spot_68,돌염전,35.67567568,0,3.621621622,1.625,1,1,0,0,0,0,1,0,0
spot_69,스누피가든,133.8333333,0.072222222,4.288888889,1.766423358,1,1,1,1,1,1,1,0,1
spot_70,고성오일시장,33.75,0.125,3,0.833333333,0,0,0,1,0,0,0,0,0
spot_71,반지만들기 은답하라99.9,90,0,4,1,0,0,0,0,0,0,0,0,1
spot_75,오설록티뮤지엄,63.71428571,0.480952381,3.876190476,1.275449102,0,0,1,0,0,0,0,0,0
spot_78,손지오름,90,0,3.5,0.5,1,0,0,0,0,0,0,0,0
spot_79,목장카페 밭디,96.31578947,0,4.421052632,2.25,0,0,0,1,1,0,0,0,1
spot_82,함덕해수욕장,60.38265306,0.558673469,4.466836735,1.549848943,1,0,0,0,0,0,0,0,0
spot_85,용연구름다리,28.8,0.12,3.36,1.285714286,1,1,0,0,0,0,1,0,0
spot_86,올레길 7코스(서귀포-월평 올레),82.22222222,0.185185185,4.148148148,1.4,0,0,0,0,0,0,1,0,0
spot_88,신화관 제주신화월드호텔앤리조트,40,0,4.333333333,2,0,0,0,0,0,1,0,0,0
spot_89,우도,190.8433735,0.512048193,4.487951807,1.445255474,1,1,0,0,0,0,1,0,1
spot_90,올레야시장,51.81818182,0.227272727,4.227272727,1.533333333,0,0,0,1,0,0,0,0,0
spot_91,ICC제주국제컨벤션센터,150,0.333333333,3.944444444,3,0,0,1,0,0,0,0,0,0
spot_92,제주민속촌,98.70967742,0.064516129,3.741935484,1.72,1,1,0,0,0,1,0,1,1
spot_93,검멀레해변,32.96296296,0.222222222,4.12345679,1.78125,1,0,0,0,1,0,0,0,1
spot_94,월정리해수욕장,43.21100917,0.568807339,4.357798165,1.119047619,1,0,0,0,0,0,0,0,0
spot_95,모구리야영장,570,1,4.5,3,0,0,0,0,0,0,0,0,1
spot_96,화순항관리사무소,60,0,5,2,0,0,0,0,1,0,0,0,0
spot_97,서귀포치유의숲,113.4782609,0.086956522,4.065217391,1.352941176,1,1,0,0,0,1,1,0,1
spot_98,나인브로스커피,90,1,5,0,0,0,0,0,0,0,0,0,1
spot_101,산양큰엉곶,80.29411765,0.058823529,3.882352941,1.75,1,0,0,0,0,0,1,0,1
spot_104,제주문화예술진흥원 제주문예회관,85,0.333333333,4.833333333,1.166666667,0,0,1,0,0,0,0,1,0
spot_106,은하감귤체험농장,52.5,0,3.5,2,0,0,0,0,0,0,0,0,1
spot_108,수목원테마파크,92.4,0.24,3.64,1.636363636,0,0,0,0,0,1,0,0,0
spot_110,항파두리 항몽유적지,47.60869565,0.173913043,3.869565217,1.026315789,0,1,0,0,0,0,0,0,0
spot_111,국립제주박물관,70,0.185185185,4.037037037,1.272727273,0,1,0,0,0,0,0,0,0
spot_112,올레길 1코스(시흥-광치기 올레),76.15384615,0.153846154,4.307692308,0.545454545,0,0,0,0,0,0,1,0,0
spot_114,용담해안도로,42.85714286,0.5,4.5,1.454545455,1,0,0,0,0,0,1,0,0
spot_115,천지연폭포,49.51807229,0.481927711,3.957831325,1.818181818,1,1,0,0,0,0,0,0,1
spot_117,페이보릿,30,0.333333333,4.333333333,0.666666667,0,0,0,1,0,0,0,0,0
spot_118,남송이오름,45,0,3,1.5,1,0,0,0,0,0,1,0,0
spot_119,서귀포매일올레시장,53.68421053,0.554511278,4.122180451,1.599547511,0,0,0,1,0,0,0,0,0
spot_120,비자림,72.85714286,0.292857143,4.042857143,1.568965517,1,1,0,0,0,0,1,0,1
spot_124,신양섭지해수욕장,51.81818182,0.181818182,4.045454545,2.0625,1,0,0,0,0,0,0,0,0
spot_125,신화역사공원,82.5,0,4.5,0.666666667,0,1,0,0,0,0,0,0,0
spot_126,닭머르,35.58139535,0.046511628,4.255813953,1.225806452,1,0,0,0,0,0,1,0,0
spot_127,삼무공원,37.5,0.25,3.875,0.571428571,1,0,0,0,0,0,1,0,0
spot_128,아르떼뮤지엄 제주,79.83471074,0.041322314,3.694214876,1.461538462,0,0,1,0,0,0,0,0,0
spot_129,수월봉,42.58064516,0.161290323,4.161290323,1.12,1,0,0,0,0,0,0,0,1
spot_130,창꼼,35.17241379,0.103448276,3.517241379,1.166666667,1,1,0,0,0,0,1,0,0
spot_131,월령선인장군락지,36,0.233333333,4.266666667,1.346153846,1,0,0,0,0,0,1,0,0
spot_132,김녕해수욕장,70.36764706,0.360294118,4.411764706,1.362831858,1,0,0,0,0,0,0,0,0
spot_133,제주시관광안내센터,30,0,5,1,0,0,1,0,0,0,0,0,0
spot_134,신흥해수욕장,60,0,4.666666667,0.8,1,0,0,0,0,0,0,0,0
spot_136,다이소 제주동문시장점,37.5,0.25,4.5,0.25,0,0,0,1,0,0,0,0,0
spot_139,에코랜드테마파크,140.5714286,0.4,3.985714286,2.826923077,0,0,0,0,0,1,0,0,0
spot_141,아침미소목장,92.26415094,0.113207547,4.528301887,1.931818182,1,0,1,0,0,0,0,0,1
spot_142,성산포JC공원,48,0.2,3.8,0.75,1,0,0,0,0,0,0,0,0
spot_144,제주레일바이크,59.4,0.12,4.04,1.888888889,0,0,0,0,0,0,0,0,1
spot_146,제주봄날,60,0,5,1,1,1,0,0,0,0,0,0,0
spot_81,한담해안산책로,52.71028037,0.317757009,4.46728972,1.483516484,1,0,0,0,0,0,1,0,0
spot_147,쇠소깍,58.55769231,0.326923077,3.971153846,1.5375,1,1,0,0,1,0,1,0,1
spot_148,이중섭거리,50.64935065,0.467532468,3.779220779,0.923076923,0,1,1,1,0,0,0,0,0
spot_149,곽지해수욕장,64.97142857,0.325714286,4.285714286,1.263157895,1,0,0,0,0,0,0,0,0
spot_151,다락쉼터 인증센터,25.71428571,0.142857143,4.857142857,0.833333333,0,0,0,0,0,0,0,0,1
spot_154,새연교(우영우 촬영장),60,0,5,1,0,1,0,0,0,0,0,0,0
spot_155,중문색달해수욕장,78.85714286,0.352380952,4.066666667,1.390804598,1,0,0,0,0,0,0,0,0
spot_156,사계해변,36.94214876,0.173553719,4.041322314,1.284210526,1,1,0,0,0,0,0,0,1
spot_158,천제연폭포,66.73469388,0.183673469,4.367346939,1.285714286,1,1,0,0,0,0,0,1,0
spot_159,남원큰엉해변,46.66666667,0.027777778,4.194444444,1.724137931,1,0,0,0,1,0,1,0,0
spot_160,자구리문화예술공원,61.66666667,0.277777778,3.944444444,0.384615385,1,0,0,0,0,0,0,0,0
spot_161,한라산1100고지,47.72727273,0.454545455,4.454545455,1.555555556,1,0,0,0,0,0,0,0,0
spot_162,산방산,47.70491803,0.426229508,4.081967213,1.211538462,1,1,0,0,1,0,1,0,1
spot_163,바이나흐튼 크리스마스박물관,41.53846154,0,3.384615385,1.166666667,0,1,0,0,0,0,0,0,0
spot_165,더럭초등학교,60,0,5,0,0,0,0,0,0,0,1,0,0
spot_166,제주동문시장,52.92613636,0.579545455,4.065340909,1.384615385,0,0,0,1,0,0,0,0,0
spot_168,비밀의숲,64.70588235,0.098039216,3.87254902,1.352941176,1,0,0,0,0,0,1,0,1
spot_174,점보빌리지,106.875,0.25,3.4375,2.75,0,0,1,0,0,1,0,0,1
spot_175,제주신라호텔 수영장,144,0.8,5,2.5,0,0,0,0,0,1,0,0,0
spot_176,이니스프리 제주하우스,50,0.25,4.333333333,1.6,0,0,0,1,0,0,0,0,1
spot_180,스캠프짐,150,1,5,0,0,0,0,0,1,0,0,0,0
spot_183,제주별책부록,30,0,5,0,0,0,0,1,0,0,0,0,0
spot_184,제주차귀도요트투어,105,0,4.5,1.333333333,0,0,0,0,1,0,0,0,1
spot_185,쇠소깍수상레저 전통테우,72,0,4.4,1.8,0,0,0,0,1,0,0,0,1
spot_186,월정투명카약,69,0.1,4.2,1.375,1,0,0,0,1,0,0,0,1
spot_187,서귀포항여객선터미널,225,0.5,4.5,3,0,0,0,0,1,0,0,0,1
spot_188,더마파크,93.10344828,0.172413793,4.103448276,4.230769231,0,0,1,0,1,1,0,0,1
spot_192,대평,30,1,4,0,0,0,0,0,0,0,0,0,1
spot_194,동백동산습지센터,45,0,4.5,2.5,1,0,1,0,0,0,0,0,0
spot_195,차귀도,67.5,0.25,3.5,4,1,0,0,0,0,0,0,0,1
spot_196,탑텐 서귀포점,45,0.5,4,3,0,0,0,1,0,0,0,0,0
spot_197,서우봉,51.75,0.2,4.275,0.964285714,1,1,0,0,1,0,1,0,0
spot_198,제주시청,60,0.75,3.5,0.5,0,0,0,1,0,0,0,0,0
spot_200,도두봉,44.26829268,0.109756098,4.243902439,1.101449275,1,0,0,0,0,0,1,0,0
spot_201,"디아넥스 온천, 수영장",90,0.5,5,0,0,0,0,0,0,1,0,0,0
spot_202,문도지오름,52.22222222,0.037037037,4.148148148,1.263157895,1,0,0,0,0,0,1,0,0
spot_203,상효원수목원,91.62162162,0.054054054,3.891891892,2.032258065,1,0,0,0,0,0,0,0,0
spot_205,제주성읍마을,58.06451613,0.290322581,3.935483871,2.076923077,0,0,0,0,0,0,1,0,0
