iter	Passed	Remaining
0	50	85805
1	106	89653
2	130	73437
3	179	75648
4	242	81818
5	289	81296
6	306	73647
7	363	76485
8	397	74116
9	473	79522
10	520	79421
11	563	78732
12	593	76468
13	644	77063
14	704	78641
15	760	79515
16	778	76615
17	829	76978
18	842	74027
19	847	70719
20	859	68292
21	908	68832
22	968	70133
23	1068	74159
24	1141	75954
25	1176	75238
26	1278	78707
27	1294	76818
28	1366	78241
29	1391	76932
30	1412	75550
31	1477	76506
32	1489	74757
33	1549	75444
34	1617	76426
35	1649	75717
36	1674	74761
37	1726	74997
38	1751	74111
39	1801	74258
40	1812	72873
41	1867	73216
42	1901	72801
43	1911	71475
44	1942	70961
45	1996	71313
46	2050	71630
47	2090	71476
48	2099	70277
49	2149	70467
50	2161	69412
51	2214	69729
52	2240	69149
53	2252	68186
54	2279	67730
55	2325	67819
56	2336	66910
57	2356	66272
58	2413	66686
59	2425	65862
60	2445	65253
61	2468	64783
62	2486	64180
63	2502	63534
64	2511	62737
65	2560	62957
66	2591	62744
67	2649	63157
68	2680	62930
69	2716	62836
70	2768	63100
71	2822	63398
72	2836	62799
73	2856	62331
74	2908	62584
75	2919	61972
76	2959	61956
77	3017	62313
78	3042	61999
79	3079	61944
80	3184	63211
81	3247	63636
82	3270	63288
83	3316	63363
84	3356	63347
85	3366	62754
86	3371	62086
87	3422	62269
88	3435	61755
89	3459	61463
90	3489	61270
91	3537	61401
92	3587	61563
93	3626	61535
94	3648	61220
95	3702	61432
96	3725	61139
97	3745	60800
98	3754	60291
99	3805	60470
100	3818	60038
101	3863	60115
102	3915	60285
103	3923	59797
104	3972	59921
105	3988	59566
106	3996	59086
107	4005	58629
108	4017	58230
109	4036	57935
110	4090	58156
111	4147	58391
112	4291	59846
113	4313	59600
114	4368	59797
115	4386	59488
116	4435	59601
117	4488	59756
118	4526	59721
119	4532	59267
120	4571	59234
121	4633	59513
122	4684	59635
123	4712	59475
124	4760	59559
125	4791	59431
126	4827	59373
127	4887	59605
128	4936	59700
129	4993	59884
130	5019	59702
131	5065	59751
132	5093	59585
133	5146	59718
134	5189	59735
135	5239	59827
136	5267	59667
137	5275	59293
138	5283	58914
139	5349	59188
140	5365	58906
141	5419	59047
142	5469	59130
143	5481	58807
144	5485	58413
145	5530	58443
146	5581	58548
147	5603	58347
148	5627	58158
149	5674	58224
150	5727	58341
151	5751	58157
152	5770	57926
153	5787	57689
154	5843	57828
155	5869	57680
156	5920	57772
157	5977	57922
158	6000	57744
159	6013	57467
160	6062	57534
161	6085	57362
162	6135	57435
163	6183	57501
164	6231	57555
165	6280	57625
166	6308	57492
167	6323	57250
168	6373	57320
169	6461	57735
170	6525	57924
171	6535	57642
172	6548	57387
173	6594	57421
174	6645	57490
175	6696	57564
176	6718	57393
177	6774	57504
178	6823	57557
179	6878	57664
180	6933	57769
181	6957	57612
182	6986	57495
183	6995	57220
184	7044	57271
185	7109	57447
186	7167	57571
187	7254	57919
188	7316	58070
189	7356	58041
190	7410	58117
191	7418	57844
192	7486	58027
193	7536	58078
194	7585	58118
195	7636	58170
196	7684	58202
197	7692	57930
198	7739	57952
199	7752	57718
200	7776	57572
201	7823	57590
202	7832	57331
203	7883	57388
204	7942	57496
205	7990	57522
206	8061	57716
207	8119	57813
208	8169	57852
209	8221	57901
210	8241	57730
211	8250	57478
212	8258	57224
213	8303	57230
214	8327	57092
215	8374	57112
216	8424	57149
217	8474	57182
218	8487	56970
219	8621	57566
220	8675	57629
221	8724	57653
222	8785	57755
223	8844	57846
224	8896	57887
225	8954	57965
226	9008	58017
227	9067	58104
228	9118	58136
229	9180	58237
230	9236	58298
231	9286	58322
232	9339	58359
233	9390	58388
234	9449	58465
235	9500	58491
236	9520	58325
237	9542	58179
238	9593	58200
239	9646	58241
240	9704	58305
241	9761	58369
242	9813	58397
243	9867	58438
244	9891	58298
245	9939	58303
246	9998	58372
247	10092	58644
248	10156	58738
249	10215	58802
250	10266	58819
251	10326	58886
252	10390	58972
253	10442	58996
254	10507	59088
255	10568	59156
256	10652	59356
257	10708	59394
258	10758	59402
259	10777	59236
260	10825	59228
261	10872	59217
262	10927	59251
263	10979	59266
264	11035	59302
265	11093	59348
266	11158	59429
267	11216	59469
268	11261	59449
269	11313	59456
270	11377	59530
271	11397	59376
272	11459	59440
273	11519	59491
274	11532	59297
275	11586	59316
276	11641	59342
277	11737	59575
278	11798	59628
279	11850	59632
280	11902	59637
281	11952	59637
282	12006	59648
283	12026	59495
284	12075	59489
285	12129	59500
286	12149	59349
287	12208	59387
288	12261	59398
289	12319	59429
290	12375	59455
291	12431	59476
292	12486	59492
293	12544	59523
294	12601	59545
295	12654	59553
296	12713	59588
297	12811	59801
298	12867	59818
299	12921	59828
300	12986	59882
301	13042	59899
302	13094	59899
303	13149	59907
304	13203	59915
305	13268	59968
306	13319	59958
307	13374	59967
308	13426	59963
309	13480	59965
310	13527	59936
311	13578	59928
312	13633	59935
313	13684	59925
314	13735	59912
315	13787	59905
316	13928	60281
317	13981	60279
318	14033	60269
319	14082	60248
320	14131	60221
321	14183	60212
322	14234	60197
323	14287	60192
324	14345	60208
325	14370	60082
326	14418	60056
327	14441	59921
328	14475	59838
329	14522	59807
330	14574	59794
331	14622	59768
332	14670	59740
333	14728	59751
334	14777	59729
335	14810	59638
336	14857	59606
337	14910	59599
338	14998	59728
339	15049	59709
340	15064	59553
341	15075	59376
342	15121	59338
343	15132	59165
344	15179	59133
345	15231	59120
346	15279	59092
347	15330	59073
348	15378	59047
349	15440	59072
350	15497	59076
351	15551	59068
352	15607	59069
353	15662	59065
354	15682	58929
355	15732	58906
356	15785	58897
357	15848	58922
358	15904	58922
359	15955	58903
360	16087	59180
361	16174	59293
362	16244	59338
363	16319	59404
364	16417	59553
365	16539	59785
366	16604	59810
367	16665	59824
368	16738	59876
369	16802	59898
370	16862	59905
371	16923	59915
372	16985	59927
373	17077	60045
374	17147	60085
375	17215	60115
376	17347	60370
377	17401	60353
378	17463	60362
379	17520	60355
380	17609	60453
381	17684	60506
382	17761	60564
383	17840	60630
384	17912	60669
385	17982	60702
386	18037	60684
387	18097	60684
388	18182	60763
389	18194	60600
390	18249	60582
391	18310	60583
392	18369	60576
393	18426	60563
394	18480	60541
395	18538	60530
396	18602	60540
397	18664	60542
398	18721	60529
399	18787	60541
400	18847	60537
401	18906	60529
402	18961	60507
403	19014	60479
404	19071	60462
405	19126	60442
406	19208	60505
407	19271	60506
408	19322	60471
409	19382	60464
410	19434	60432
411	19489	60407
412	19539	60370
413	19598	60356
414	19650	60325
415	19708	60308
416	19759	60273
417	19812	60242
418	19865	60212
419	19918	60181
420	19969	60147
421	20022	60114
422	20075	60083
423	20127	60049
424	20181	60022
425	20237	59998
426	20324	60068
427	20388	60070
428	20447	60054
429	20504	60035
430	20555	59996
431	20608	59965
432	20622	59820
433	20669	59770
434	20720	59731
435	20775	59706
436	20821	59652
437	20838	59516
438	20888	59476
439	20938	59436
440	20987	59393
441	21036	59348
442	21086	59307
443	21135	59266
444	21189	59235
445	21239	59195
446	21301	59187
447	21446	59409
448	21503	59386
449	21516	59241
450	21567	59201
451	21622	59174
452	21634	59028
453	21688	58999
454	21743	58969
455	21797	58940
456	21870	58959
457	21944	58981
458	21996	58944
459	22048	58908
460	22103	58879
461	22166	58870
462	22221	58840
463	22278	58818
464	22333	58787
465	22393	58770
466	22487	58844
467	22557	58852
468	22612	58822
469	22682	58830
470	22743	58813
471	22805	58800
472	22864	58779
473	22923	58759
474	23012	58815
475	23081	58819
476	23146	58811
477	23219	58826
478	23341	58964
479	23402	58945
480	23461	58922
481	23525	58912
482	23626	58992
483	23691	58983
484	23762	58989
485	23826	58976
486	23890	58965
487	23950	58944
488	24020	58947
489	24081	58926
490	24143	58908
491	24206	58891
492	24312	58980
493	24377	58969
494	24439	58950
495	24497	58921
