iter	RMSE	R2	MAE
0	4.227465679	-24.4557515	4.143794739
1	4.149635588	-23.52706946	4.064910565
2	4.067737726	-22.56848292	3.981277575
3	3.987877047	-21.65214127	3.900011012
4	3.913385221	-20.81378071	3.824134727
5	3.83715412	-19.97221145	3.746457578
6	3.76193	-19.15798706	3.669366886
7	3.690697074	-18.40182321	3.596643438
8	3.618922096	-17.65452565	3.523175001
9	3.551223635	-16.96312065	3.453825637
10	3.482417834	-16.27378454	3.383420811
11	3.415380584	-15.61513798	3.314807594
12	3.350782805	-14.99257139	3.248784619
13	3.28614403	-14.38150853	3.182110795
14	3.222704567	-13.79335676	3.116673402
15	3.160740698	-13.22995343	3.052766431
16	3.100277949	-12.69074258	2.990724301
17	3.040962296	-12.17188144	2.92943742
18	2.98311717	-11.67553694	2.870071379
19	2.926089921	-11.19554121	2.811462665
20	2.871416513	-10.74405642	2.755564327
21	2.818158345	-10.31244614	2.700643891
22	2.765550479	-9.894038905	2.646642798
23	2.714499329	-9.495550414	2.594220756
24	2.664237391	-9.110475471	2.542399512
25	2.61445476	-8.736166776	2.491157015
26	2.565787809	-8.37707126	2.440807122
27	2.518345963	-8.033509918	2.391697167
28	2.471857948	-7.703075686	2.343495027
29	2.426625798	-7.38747739	2.29656662
30	2.381980973	-7.081692426	2.250461184
31	2.33886992	-6.791801475	2.205981095
32	2.296595208	-6.512675848	2.16247381
33	2.255776556	-6.247995238	2.12049633
34	2.215286803	-5.990136597	2.078603201
35	2.176109505	-5.745081996	2.038287734
36	2.137412678	-5.507325096	1.9985412
37	2.09964233	-5.279374447	1.959400551
38	2.062763058	-5.060722952	1.92119828
39	2.026499652	-4.849500856	1.883949729
40	1.991637154	-4.649970506	1.848281194
41	1.958932942	-4.465940259	1.814537782
42	1.926144244	-4.284493358	1.780750081
43	1.893186851	-4.105199295	1.746925035
44	1.861559974	-3.936052913	1.714599294
45	1.830189303	-3.771091738	1.682510181
46	1.799716622	-3.613536886	1.651080878
47	1.76997851	-3.462330457	1.620565271
48	1.740971422	-3.317268176	1.590680065
49	1.712982221	-3.179568552	1.562041131
50	1.686382543	-3.050773289	1.534880444
51	1.65944218	-2.922382944	1.507441124
52	1.633527293	-2.800830758	1.480956491
53	1.6084492	-2.685025012	1.455312341
54	1.583504341	-2.571611878	1.429897531
55	1.559097984	-2.462362709	1.404884725
56	1.53567878	-2.359127654	1.381081405
57	1.512824213	-2.259887971	1.357993625
58	1.490284729	-2.163473816	1.335227687
59	1.46825511	-2.070639159	1.313000158
60	1.446638378	-1.980888329	1.29130834
61	1.425802724	-1.895640365	1.270408545
62	1.405475258	-1.813663466	1.250199593
63	1.385699941	-1.735042874	1.230654755
64	1.366106714	-1.658244926	1.21149759
65	1.34749565	-1.586309444	1.193205613
66	1.329188296	-1.516510571	1.175314547
67	1.311227015	-1.448959024	1.157860914
68	1.294188228	-1.385726378	1.141419465
69	1.277236027	-1.323635818	1.125103822
70	1.260839128	-1.264358036	1.109424301
71	1.245364149	-1.20911569	1.09476854
72	1.229933921	-1.154712347	1.080176012
73	1.215543391	-1.104585988	1.066692843
74	1.200759721	-1.053704546	1.052756359
75	1.186270887	-1.004441965	1.039078842
76	1.172351628	-0.9576791874	1.026072662
77	1.158885998	-0.9129656557	1.013459018
78	1.145768209	-0.8699038598	1.001190799
79	1.133169173	-0.8290064831	0.9893912309
80	1.120873027	-0.7895283325	0.978007415
81	1.109003586	-0.7518287228	0.9669375343
82	1.09724523	-0.7148776688	0.9558980614
83	1.085791461	-0.6792624855	0.9451955206
84	1.074781992	-0.6453810987	0.9348303464
85	1.064298744	-0.6134400788	0.925004914
86	1.053986903	-0.5823267524	0.9153617918
87	1.044007605	-0.5525052088	0.9060616166
88	1.03423414	-0.5235737503	0.8968854623
89	1.024828622	-0.4959884275	0.8880491623
90	1.015527418	-0.4689568817	0.8793644569
91	1.006624606	-0.4433140071	0.8710133444
92	0.998088741	-0.4189400759	0.8629916646
93	0.9899669182	-0.3959411376	0.8553384711
94	0.9819799398	-0.3735073056	0.8477799645
95	0.9741263926	-0.3516254545	0.8403212767
96	0.9667001261	-0.3310957364	0.8332368123
97	0.9593139739	-0.3108327497	0.8261196954
98	0.9523143253	-0.2917735162	0.8193853891
99	0.9454774001	-0.2732921055	0.8127515663
100	0.9387134683	-0.2551390449	0.8061531309
101	0.9322780012	-0.2379885118	0.7998128124
102	0.926254121	-0.2220417634	0.7939803119
103	0.9204389391	-0.2067455561	0.7883295542
104	0.9145390849	-0.1913250764	0.7825404993
105	0.908890914	-0.1766553279	0.7770596042
106	0.9036561977	-0.1631405723	0.772002677
107	0.8982310201	-0.1492164669	0.7667534179
108	0.8931980407	-0.1363739392	0.7618751817
109	0.8883671617	-0.1241149792	0.7572338627
110	0.8836581044	-0.1122291461	0.752763171
111	0.879153116	-0.1009175153	0.7485853794
112	0.8746759442	-0.08973301031	0.7443714217
113	0.8706002619	-0.07960112569	0.7405859018
114	0.8664919318	-0.06943597225	0.7367187888
115	0.8624249332	-0.05942044377	0.7328966082
116	0.8584948858	-0.04978694234	0.7292157152
117	0.8546769846	-0.04047047275	0.7256719917
118	0.8510715669	-0.03171062951	0.722292527
119	0.8475836802	-0.02327158346	0.7190112645
120	0.8444351998	-0.01568350284	0.7160636539
121	0.8412391919	-0.008009759256	0.7130835821
122	0.8379617262	-0.0001706529845	0.7100693013
123	0.8351331165	0.006570269393	0.7073973513
124	0.832147078	0.01366163271	0.7045542098
125	0.8293065209	0.02038392653	0.701869303
