iter	RMSE	R2	MAE
0	0.8336971526	0.006207821846	0.7021226793
1	0.8312642947	0.01199943933	0.7000126965
2	0.8289050803	0.01759957747	0.6979129007
3	0.8264753188	0.02335053821	0.6957175338
4	0.8242248934	0.02866197197	0.6937265974
5	0.8220733216	0.03372655014	0.6918358529
6	0.8199757681	0.03865123124	0.689913455
7	0.8181672167	0.04288728639	0.6882389421
8	0.8161219723	0.04766646278	0.68626665
9	0.8141474865	0.05226894746	0.6844133511
10	0.8121693066	0.05686886309	0.6824936794
11	0.8102638161	0.06128917112	0.6806508317
12	0.8084055188	0.0655900011	0.6788662524
13	0.8066247444	0.06970214679	0.6771545563
14	0.8048451017	0.07380261968	0.6753674181
15	0.8032068696	0.0775692625	0.6737706824
16	0.8016596862	0.08111951861	0.6722123172
17	0.8001156676	0.08465568807	0.6706644159
18	0.7986562243	0.08799189259	0.6692322266
19	0.7973399825	0.09099552272	0.6679170705
20	0.7958895019	0.0942997446	0.6664755361
21	0.7943945977	0.09769886875	0.6649759565
22	0.7930587484	0.1007309257	0.6636021398
23	0.7917444756	0.1037090293	0.6622572861
24	0.7905100628	0.1065016743	0.661015388
25	0.7892380079	0.1093749191	0.6596297559
26	0.7880206192	0.1121203537	0.6584264875
27	0.7867483931	0.114984928	0.6571256374
28	0.7856093745	0.1175456424	0.6559455738
29	0.7845947368	0.119823602	0.6549015845
30	0.783513317	0.1222482531	0.6537959199
31	0.7824265613	0.1246814988	0.6526497974
32	0.7814449191	0.126876492	0.6515432815
33	0.7804912661	0.1290062616	0.6505544998
34	0.7795787969	0.1310416216	0.6495353954
35	0.7787186107	0.1329581787	0.6486232317
36	0.7778165449	0.1349657737	0.6475942281
37	0.7769205215	0.1369576172	0.6466221006
38	0.7762967357	0.1383429261	0.6459567374
39	0.7754455738	0.140231399	0.6450001775
40	0.7747877343	0.1416895279	0.6442395267
41	0.7739537749	0.1435362554	0.6432914056
42	0.773178175	0.1452519659	0.642379522
43	0.7723855543	0.1470035511	0.6415410759
44	0.7716570011	0.1486119711	0.6406623494
45	0.7709863625	0.1500911921	0.6399580198
46	0.7703578833	0.1514762548	0.6392267136
47	0.7696772707	0.152974937	0.6384243988
48	0.7688546515	0.1547845442	0.6375255171
49	0.7682295	0.1561584655	0.6367901262
50	0.767517904	0.1577210095	0.6360019482
51	0.7669569701	0.1589517044	0.6353481281
