iter	Passed	Remaining
0	66	112325
1	122	103529
2	183	103348
3	245	103400
4	309	104098
5	406	113923
6	481	115610
7	510	107321
8	600	112099
9	679	114090
10	743	113436
11	814	113799
12	876	113054
13	932	111525
14	991	110619
15	1042	108962
16	1097	107934
17	1135	105376
18	1186	104248
19	1212	101193
20	1268	100787
21	1322	100188
22	1381	100094
23	1436	99629
24	1493	99390
25	1550	99165
26	1606	98890
27	1663	98667
28	1721	98529
29	1782	98547
30	1843	98587
31	1903	98548
32	1942	97463
33	2002	97482
34	2060	97393
35	2120	97360
36	2178	97281
37	2237	97199
38	2254	95363
39	2306	95104
40	2328	93594
41	2382	93443
42	2442	93491
43	2499	93446
44	2554	93323
45	2613	93341
46	2668	93235
47	2726	93210
48	2782	93129
49	2837	93019
50	2905	93332
51	2970	93515
52	2998	92564
53	3041	92083
54	3100	92112
55	3156	92048
56	3178	91004
57	3228	90798
58	3279	90611
59	3333	90507
60	3387	90412
61	3447	90466
62	3490	90082
63	3542	89956
64	3601	89983
65	3655	89886
66	3712	89872
67	3734	89023
68	3786	88898
69	3843	88885
70	3899	88857
71	3952	88762
72	4010	88770
73	4067	88770
74	4126	88800
75	4179	88700
76	4201	87952
77	4255	87886
78	4308	87797
79	4329	87070
80	4383	87014
81	4451	87242
82	4512	87314
83	4564	87210
84	4622	87235
85	4678	87197
86	4735	87196
87	4794	87235
88	4851	87212
89	4897	87011
90	4954	87000
91	5014	87048
92	5075	87106
93	5134	87129
94	5193	87146
95	5255	87210
96	5314	87224
97	5373	87242
98	5430	87213
99	5443	86494
100	5466	85943
101	5521	85914
102	5580	85926
103	5638	85936
104	5699	85984
105	5758	85996
106	5813	85953
107	5865	85861
108	5925	85897
109	5979	85831
110	6050	86009
111	6114	86094
112	6172	86084
113	6232	86110
114	6263	85728
115	6319	85691
116	6351	85337
117	6408	85316
118	6464	85288
119	6524	85305
120	6581	85289
121	6653	85463
122	6711	85443
123	6772	85476
124	6834	85517
125	6861	85113
126	6880	84620
127	6936	84594
128	6997	84625
129	7058	84649
130	7126	84761
131	7186	84764
132	7217	84440
133	7271	84380
134	7328	84357
135	7389	84383
136	7446	84361
137	7510	84407
138	7568	84395
139	7631	84433
140	7688	84413
141	7705	83943
142	7763	83932
143	7825	83961
144	7898	84106
145	7963	84157
146	8023	84169
147	8086	84197
148	8143	84166
149	8206	84194
150	8265	84185
151	8328	84213
152	8354	83868
153	8405	83782
154	8460	83730
155	8473	83264
156	8527	83209
157	8579	83137
158	8644	83183
159	8709	83228
160	8771	83249
161	8843	83361
162	8905	83368
163	8976	83474
164	9040	83502
165	9108	83563
166	9176	83629
167	9203	83328
168	9260	83287
169	9322	83302
170	9385	83320
171	9402	82926
172	9465	82947
173	9528	82959
174	9588	82954
175	9645	82917
176	9703	82889
177	9760	82851
178	9816	82808
179	9876	82795
180	9933	82763
181	9991	82734
182	10051	82722
183	10104	82645
184	10176	82730
185	10248	82816
186	10308	82795
187	10334	82512
188	10391	82474
189	10458	82514
190	10525	82552
191	10588	82556
192	10650	82556
193	10715	82578
194	10775	82559
195	10834	82531
196	10851	82187
197	10904	82112
198	10958	82047
199	11008	81960
200	11061	81887
201	11115	81828
202	11129	81468
203	11199	81523
204	11316	81918
205	11372	81873
206	11423	81783
207	11480	81745
208	11535	81684
209	11559	81411
210	11619	81394
211	11683	81398
212	11744	81384
213	11806	81379
214	11820	81038
215	11880	81015
216	11940	80995
217	12001	80982
218	12073	81041
219	12132	81012
220	12191	80981
221	12260	81021
222	12325	81027
223	12386	81008
224	12446	80987
225	12504	80945
226	12562	80906
227	12625	80900
228	12680	80842
229	12741	80825
230	12799	80789
231	12857	80745
232	12933	80821
233	13006	80872
234	13032	80634
235	13110	80719
236	13177	80733
237	13248	80772
238	13281	80575
239	13340	80542
240	13452	80825
241	13542	80973
242	13570	80752
243	13632	80734
244	13735	80957
245	13800	80953
246	13864	80942
247	13926	80921
248	13987	80892
249	14005	80617
250	14074	80631
251	14146	80666
252	14208	80647
253	14269	80618
254	14334	80608
255	14403	80624
256	14471	80634
257	14537	80632
258	14602	80622
259	14680	80686
260	14697	80411
261	14716	80156
262	14782	80153
263	14849	80154
264	14918	80164
265	14987	80176
266	15057	80193
267	15079	79957
268	15139	79920
269	15206	79917
270	15268	79891
271	15339	79913
272	15410	79929
273	15474	79913
274	15532	79866
275	15588	79806
276	15659	79823
277	15737	79877
278	15798	79839
279	15860	79809
280	15922	79781
281	15997	79816
282	16063	79809
283	16125	79778
284	16190	79758
285	16258	79755
286	16317	79713
287	16374	79656
288	16424	79563
289	16480	79503
290	16541	79467
291	16605	79444
292	16658	79370
293	16679	79143
294	16745	79128
295	16806	79095
296	16867	79055
297	16932	79035
298	16997	79018
299	17067	79021
300	17135	79014
301	17200	78997
302	17215	78749
303	17281	78733
304	17305	78525
305	17377	78537
306	17442	78519
307	17507	78499
308	17573	78484
309	17639	78466
310	17698	78419
311	17718	78200
312	17777	78151
313	17838	78115
314	17896	78061
315	17955	78016
316	18043	78093
317	18104	78054
318	18172	78044
319	18238	78025
320	18301	77996
321	18357	77932
322	18419	77897
323	18536	78092
324	18602	78072
325	18671	78065
326	18759	78136
327	18817	78080
328	18902	78137
329	18977	78152
330	19006	77977
331	19071	77951
332	19136	77924
333	19154	77707
334	19219	77679
335	19285	77660
336	19354	77648
337	19419	77621
338	19521	77742
339	19608	77799
340	19667	77748
341	19731	77714
342	19805	77718
343	19868	77684
344	19907	77551
345	19970	77514
346	20022	77436
347	20085	77399
348	20148	77359
349	20208	77311
350	20271	77272
351	20344	77275
352	20449	77396
353	20513	77361
354	20531	77152
355	20594	77112
356	20647	77037
357	20661	76816
358	20714	76743
359	20785	76734
360	20847	76689
361	20902	76623
362	20958	76557
363	21016	76501
364	21029	76281
365	21092	76243
366	21157	76214
367	21215	76157
368	21285	76144
369	21349	76109
370	21413	76074
371	21478	76041
372	21542	76004
373	21600	75947
374	21742	76185
375	21826	76217
376	21901	76219
377	22021	76376
378	22158	76588
379	22231	76582
380	22288	76518
381	22352	76477
382	22408	76412
383	22482	76406
384	22550	76380
385	22581	76227
386	22640	76171
387	22704	76131
388	22763	76071
389	22823	76019
390	22890	75987
391	22958	75962
392	22973	75759
393	23036	75717
394	23110	75710
395	23182	75693
396	23252	75673
397	23316	75631
398	23379	75588
399	23437	75528
400	23519	75544
401	23618	75613
402	23788	75909
403	23909	76048
404	23986	76045
405	24055	76016
406	24128	76001
407	24199	75980
408	24269	75952
409	24330	75900
410	24388	75835
411	24463	75824
412	24530	75790
413	24597	75753
414	24672	75740
415	24697	75575
416	24758	75521
417	24818	75464
418	24881	75416
419	24948	75379
420	25010	75327
421	25081	75302
422	25140	75242
423	25153	75045
424	25209	74977
425	25274	74934
426	25343	74903
427	25411	74869
428	25480	74838
429	25558	74831
430	25620	74780
431	25693	74761
432	25760	74723
433	25818	74659
434	25874	74589
435	25942	74554
436	26000	74491
437	26060	74432
438	26119	74371
439	26178	74311
440	26237	74249
441	26256	74075
442	26313	74009
443	26376	73961
444	26435	73899
445	26492	73835
446	26556	73788
447	26616	73729
448	26675	73669
449	26733	73606
450	26791	73542
451	26851	73485
452	26907	73415
453	26984	73406
454	27051	73365
455	27111	73308
456	27176	73263
457	27239	73212
458	27308	73179
459	27363	73106
460	27421	73044
461	27480	72983
462	27539	72924
463	27603	72876
464	27616	72692
465	27695	72684
466	27765	72653
467	27834	72618
468	27900	72576
469	27963	72526
470	28038	72507
471	28099	72452
472	28163	72403
473	28223	72344
474	28283	72286
475	28308	72140
476	28324	71968
477	28392	71930
478	28420	71791
479	28489	71757
480	28555	71714
481	28627	71687
482	28691	71639
483	28754	71589
484	28811	71524
485	28871	71465
486	28929	71401
487	28995	71360
488	29064	71323
489	29086	71172
490	29143	71107
491	29205	71055
492	29265	70995
493	29324	70937
494	29390	70893
495	29452	70840
496	29519	70799
497	29580	70742
498	29647	70703
499	29711	70654
500	29777	70611
501	29845	70569
502	29908	70519
503	29966	70457
504	30090	70549
505	30147	70483
506	30206	70421
507	30263	70355
508	30320	70290
509	30383	70239
510	30444	70183
511	30515	70149
512	30549	70031
513	30588	69925
514	30659	69892
515	30743	69886
516	30823	69874
517	30884	69817
518	31042	69979
519	31117	69953
520	31179	69898
521	31240	69842
522	31306	69796
523	31371	69747
524	31431	69687
525	31494	69634
526	31561	69590
527	31627	69545
528	31689	69489
529	31764	69461
530	31821	69395
531	31889	69354
532	31908	69204
533	31964	69137
534	32027	69083
535	32086	69021
536	32153	68977
537	32212	68916
538	32270	68852
539	32327	68784
540	32396	68745
541	32462	68698
542	32530	68654
543	32605	68626
544	32669	68575
545	32738	68534
546	32809	68498
547	32868	68435
548	32935	68390
549	32995	68331
550	33054	68268
551	33115	68210
552	33169	68137
553	33232	68084
554	33295	68030
555	33358	67977
556	33416	67913
557	33483	67866
558	33550	67820
559	33612	67765
560	33675	67710
561	33740	67660
562	33820	67641
563	33898	67615
564	33972	67584
565	34039	67537
566	34108	67494
567	34169	67436
568	34237	67392
569	34302	67341
570	34367	67290
571	34430	67235
572	34489	67173
573	34552	67118
574	34617	67067
575	34676	67005
576	34740	66952
577	34795	66882
578	34867	66844
579	34928	66786
580	34987	66722
581	35049	66665
582	35109	66606
583	35167	66541
584	35230	66486
585	35301	66446
586	35365	66392
587	35427	66336
588	35494	66288
589	35554	66228
590	35618	66174
591	35684	66124
592	35749	66072
593	35816	66025
594	35877	65966
595	35950	65930
596	36033	65911
597	36101	65863
598	36169	65816
599	36233	65763
600	36297	65709
601	36362	65657
602	36431	65613
603	36495	65558
604	36569	65522
605	36653	65504
606	36729	65471
607	36795	65421
608	36861	65369
609	36913	65294
610	37003	65285
611	37065	65227
612	37124	65164
613	37203	65135
614	37268	65083
615	37348	65056
616	37420	65015
617	37482	64958
618	37548	64905
619	37607	64841
620	37677	64798
621	37745	64749
622	37813	64701
623	37872	64638
624	37940	64590
625	38016	64554
626	38092	64520
627	38157	64466
628	38214	64398
629	38274	64337
630	38334	64275
631	38398	64219
632	38460	64161
633	38528	64112
634	38583	64042
635	38650	63991
636	38717	63941
637	38779	63882
638	38850	63838
639	38916	63785
640	38987	63742
641	39054	63691
642	39130	63655
643	39186	63587
644	39257	63542
645	39318	63481
646	39389	63436
647	39446	63370
648	39544	63368
649	39606	63310
650	39665	63244
651	39723	63179
652	39779	63111
653	39837	63045
654	39893	62976
655	39952	62913
656	40018	62860
657	40086	62810
658	40153	62759
659	40268	62783
660	40331	62724
661	40393	62664
662	40450	62597
663	40512	62538
664	40587	62497
665	40646	62434
666	40715	62385
667	40779	62329
668	40841	62269
669	40903	62210
670	40962	62146
671	41020	62079
672	41080	62017
673	41135	61947
674	41190	61877
675	41250	61814
676	41307	61747
677	41363	61678
678	41438	61638
679	41503	61583
680	41568	61528
681	41624	61459
682	41691	61408
683	41761	61360
684	41828	61307
685	41889	61246
686	41957	61194
687	42017	61133
688	42085	61082
689	42144	61017
690	42205	60956
691	42276	60909
692	42339	60851
693	42400	60790
694	42459	60725
695	42519	60663
696	42578	60599
697	42648	60550
698	42717	60501
699	42782	60445
700	42844	60385
701	42901	60318
702	42969	60267
703	43024	60197
704	43089	60142
705	43153	60084
706	43227	60040
707	43293	59987
708	43361	59935
709	43427	59881
710	43501	59837
711	43563	59777
712	43617	59706
713	43674	59639
714	43738	59581
715	43801	59523
716	43855	59452
717	43912	59386
718	43971	59321
719	44032	59260
720	44098	59206
721	44156	59141
722	44214	59074
723	44275	59013
724	44340	58956
725	44407	58904
726	44475	58851
727	44539	58794
728	44598	58730
729	44664	58676
730	44732	58623
731	44856	58644
732	44917	58582
733	44975	58517
734	45038	58458
735	45102	58400
736	45162	58337
737	45229	58283
738	45295	58227
739	45356	58166
740	45432	58123
741	45490	58058
742	45554	58000
743	45619	57943
744	45682	57884
745	45755	57837
746	45830	57793
747	45904	57749
748	45971	57694
749	46042	57645
750	46109	57591
751	46185	57547
752	46268	57512
753	46339	57463
754	46402	57403
755	46468	57347
756	46543	57303
757	46602	57238
758	46672	57187
759	46729	57120
